Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales,,,,,,,,,,,,
Korea Electric Power,Utilities,Electric Utilities,Asia,South Korea,21.9,49.4,0.1,147.4,524,http://www.forbes.com/companies/korea-electric-power/,0.000678426,0.002024291,,,,,,,,,,,,
Omnicom Group,Consumer Discretionary,Advertising,North America,United States,18.7,14.6,1,22.1,525,http://www.forbes.com/companies/omnicom-group/,0.045248869,0.068493151,,,,,,,,,,,,
Cardinal Health,Health Care,Pharmaceuticals,North America,United States,23.9,96.7,0.4,25,526,http://www.forbes.com/companies/cardinal-health/,0.016,0.004136505,,,,,,,,,,,,
Thales,Industrials,Aerospace & Defense,Europe,France,13.8,18.2,0.8,29.6,527,http://www.forbes.com/companies/thales/,0.027027027,0.043956044,,,,,,,,,,,,
Otsuka Holding,Health Care,Pharmaceuticals,Asia,Japan,16.1,14.4,1.8,17.9,527,http://www.forbes.com/companies/otsuka-holding/,0.100558659,0.125,,,,,,,,,,,,
Grupo Mexico,Materials,Diversified Metals & Mining,North America,Mexico,24.4,9.4,1.8,20.2,529,http://www.forbes.com/companies/grupo-mexico/,0.089108911,0.191489362,,,,,,,,,,,,
CLP Holdings,Utilities,Electric Utilities,Asia,Hong Kong,19.2,13.5,0.8,27.3,530,http://www.forbes.com/companies/clp-holdings/,0.029304029,0.059259259,,,,,,,,,,,,
Swire Pacific,Industrials,Conglomerates,Asia,Hong Kong,17.7,6.6,1.7,45,531,http://www.forbes.com/companies/swire-pacific/,0.037777778,0.257575758,,,,,,,,,,,,
Kyocera,Information Technology,Electronics,Asia,Japan,16.2,14.6,0.9,25.7,531,http://www.forbes.com/companies/kyocera/,0.035019455,0.061643836,,,,,,,,,,,,
Marsh & McLennan,Financials,Insurance Brokers,North America,United States,27.2,12.3,1.4,17,531,http://www.forbes.com/companies/marsh-mclennan/,0.082352941,0.113821138,,,,,,,,,,,,
China Resources Land,Financials,Real Estate,Asia,Hong Kong,12.9,9.3,1.9,36.3,534,http://www.forbes.com/companies/china-resources-land/,0.052341598,0.204301075,,,,,,,,,,,,
HDFC,Financials,Consumer Financial Services,Asia,India,23.2,6.6,1.2,43.5,535,http://www.forbes.com/companies/hdfc/,0.027586207,0.181818182,,,,,,,,,,,,
Raiffeisen Bank International,Financials,Major Banks,Europe,Austria,10.1,11.1,0.7,177.4,536,http://www.forbes.com/companies/raiffeisen-bank-international/,0.003945885,0.063063063,,,,,,,,,,,,
Shin-Etsu Chemical,Materials,Diversified Chemicals,Asia,Japan,24.2,11.4,1.2,19.9,537,http://www.forbes.com/companies/shin-etsu-chemical/,0.060301508,0.105263158,,,,,,,,,,,,
CIC Group,Financials,Major Banks,Europe,France,8.5,9.7,1.1,321,538,http://www.forbes.com/companies/cic-group/,0.003426791,0.113402062,,,,,,,,,,,,
Suncorp Group,Financials,Diversified Insurance,Australia,Australia,15.2,15.6,0.4,84.2,539,http://www.forbes.com/companies/suncorp-group/,0.004750594,0.025641026,,,,,,,,,,,,
Kubota,Industrials,Heavy Equipment,Asia,Japan,16.6,14.6,1.2,19.9,539,http://www.forbes.com/companies/kubota/,0.060301508,0.082191781,,,,,,,,,,,,
SCA,Consumer Staples,Household/Personal Care,Europe,Sweden,20.8,13.7,0.9,22.2,541,http://www.forbes.com/companies/sca/,0.040540541,0.065693431,,,,,,,,,,,,
Tata Consultancy Services,Information Technology,Computer Services,Asia,India,71.2,13.1,3,9.2,542,http://www.forbes.com/companies/tata-consultancy-services/,0.326086957,0.229007634,,,,,,,,,,,,
Siam Commercial Bank,Financials,Regional Banks,Asia,Thailand,16.6,5.7,1.6,77.1,542,http://www.forbes.com/companies/siam-commercial-bank/,0.02075227,0.280701754,,,,,,,,,,,,
TELUS,Telecommunication Services,Telecommunications services,North America,Canada,22.3,11,1.3,20.3,542,http://www.forbes.com/companies/telus/,0.064039409,0.118181818,,,,,,,,,,,,
Aisin Seiki,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,10.2,28.1,1,24,545,http://www.forbes.com/companies/aisin-seiki/,0.041666667,0.035587189,,,,,,,,,,,,
Daikin Industries,Materials,Construction Materials,Asia,Japan,16.7,17.3,1,19.3,545,http://www.forbes.com/companies/daikin-industries/,0.051813472,0.057803468,,,,,,,,,,,,
LG Chem,Materials,Specialized Chemicals,Asia,South Korea,16.4,21.1,1.1,16.5,547,http://www.forbes.com/companies/lg-chem/,0.066666667,0.052132701,,,,,,,,,,,,
Vivendi,Telecommunication Services,Telecommunications services,Europe,France,37.3,31.6,-1.3,67.8,548,http://www.forbes.com/companies/vivendi/,-0.019174041,-0.041139241,,,,,,,,,,,,
Transocean,Energy,Oil Services & Equipment,Europe,Switzerland,14.9,9.5,1.4,32.5,549,http://www.forbes.com/companies/transocean/,0.043076923,0.147368421,,,,,,,,,,,,
Mazda Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,13.4,26.7,0.9,19.7,550,http://www.forbes.com/companies/mazda-motor/,0.045685279,0.033707865,,,,,,,,,,,,
Anglo American,Materials,Diversified Metals & Mining,Europe,United Kingdom,35.3,29.3,-0.9,71.2,551,http://www.forbes.com/companies/anglo-american/,-0.012640449,-0.030716724,,,,,,,,,,,,
Evonik,,,Europe,Germany,18.3,17.1,0.7,21.9,552,http://www.forbes.com/companies/evonik/,0.03196347,0.040935673,,,,,,,,,,,,
Grupo Aval,Financials,Investment Services,South America,Colombia,13.3,9,0.8,72,553,http://www.forbes.com/companies/grupo-aval/,0.011111111,0.088888889,,,,,,,,,,,,
Compass Group,Consumer Discretionary,Restaurants,Europe,United Kingdom,27.3,27.4,0.7,14.8,553,http://www.forbes.com/companies/compass-group/,0.047297297,0.025547445,,,,,,,,,,,,
Kasikornbank,Financials,Major Banks,Asia,Thailand,13.3,6.9,1.3,69.7,555,http://www.forbes.com/companies/kasikornbank/,0.018651363,0.188405797,,,,,,,,,,,,
Commerzbank,Financials,Major Banks,Europe,Germany,21.7,21.6,0.1,803,556,http://www.forbes.com/companies/commerzbank/,0.000124533,0.00462963,,,,,,,,,,,,
Ferrovial,Industrials,Other Transportation,Europe,Spain,16.1,10.8,1,31.4,556,http://www.forbes.com/companies/ferrovial/,0.031847134,0.092592593,,,,,,,,,,,,
Xcel Energy,Utilities,Electric Utilities,North America,United States,15.1,10.9,0.9,33.9,558,http://www.forbes.com/companies/xcel-energy/,0.026548673,0.082568807,,,,,,,,,,,,
J Sainsbury,Consumer Staples,Food Retail,Europe,United Kingdom,9.8,37.2,1,20.9,559,http://www.forbes.com/companies/j-sainsbury/,0.04784689,0.02688172,,,,,,,,,,,,
Lotte Shopping,Consumer Discretionary,Department Stores,Asia,South Korea,9.3,25.8,0.7,36.9,560,http://www.forbes.com/companies/lotte-shopping/,0.01897019,0.027131783,,,,,,,,,,,,
Franklin Resources,Financials,Investment Services,North America,United States,34.3,8.2,2.2,15.9,561,http://www.forbes.com/companies/franklin-resources/,0.13836478,0.268292683,,,,,,,,,,,,
Daiwa House Industry,Industrials,Construction Services,Asia,Japan,11.1,25.4,0.8,24.7,562,http://www.forbes.com/companies/daiwa-house-industry/,0.032388664,0.031496063,,,,,,,,,,,,
Sabanci Holding,Industrials,Conglomerates,Europe,Turkey,8.1,13,0.9,96.1,563,http://www.forbes.com/companies/sabanci-holding/,0.009365245,0.069230769,,,,,,,,,,,,
Grupo Modelo,Consumer Staples,Beverages,North America,Mexico,41.1,6.9,3.8,15,564,http://www.forbes.com/companies/grupo-modelo/,0.253333333,0.550724638,,,,,,,,,,,,
Carlsberg,Consumer Staples,Beverages,Europe,Denmark,15.2,11.8,1,27.9,565,http://www.forbes.com/companies/carlsberg/,0.035842294,0.084745763,,,,,,,,,,,,
Lenovo Group,Information Technology,Computer Hardware,Asia,Hong Kong,11.9,37.2,0.8,19.5,566,http://www.forbes.com/companies/lenovo-group/,0.041025641,0.021505376,,,,,,,,,,,,
Al Rajhi Bank,Financials,Regional Banks,Asia,Saudi Arabia,30.1,4,2,74.6,567,http://www.forbes.com/companies/al-rajhi-bank/,0.026809651,0.5,,,,,,,,,,,,
Hartford Financial Services,Financials,Diversified Insurance,North America,United States,15.9,26.4,0.3,279.6,568,http://www.forbes.com/companies/hartford-financial-services/,0.001072961,0.011363636,,,,,,,,,,,,
Kingfisher,Consumer Discretionary,Home Improvement Retail,Europe,United Kingdom,17,17.4,1.1,16.1,569,http://www.forbes.com/companies/kingfisher/,0.068322981,0.063218391,,,,,,,,,,,,
Keppel Corp,Industrials,Conglomerates,Asia,Singapore,15.6,9.9,1.5,23.9,570,http://www.forbes.com/companies/keppel-corp/,0.062761506,0.151515152,,,,,,,,,,,,
Simon Property Group,Financials,Real Estate,North America,United States,51.8,5.2,1.3,33.3,571,http://www.forbes.com/companies/simon-property-group/,0.039039039,0.25,,,,,,,,,,,,
Tenaris,Energy,Oil Services & Equipment,Europe,Luxembourg,26.2,10.6,1.6,15.9,572,http://www.forbes.com/companies/tenaris/,0.100628931,0.150943396,,,,,,,,,,,,
Regions Financial,Financials,Regional Banks,North America,United States,16,5.6,1.1,118.1,573,http://www.forbes.com/companies/regions-financial/,0.009314141,0.196428571,,,,,,,,,,,,
Telecom Italia,Telecommunication Services,Telecommunications services,Europe,Italy,22.8,31.1,-0.9,96.8,574,http://www.forbes.com/companies/telecom-italia/,-0.009297521,-0.028938907,,,,,,,,,,,,
Southwest Airlines,Industrials,Airline,North America,United States,16.8,17.7,0.8,19.3,575,http://www.forbes.com/companies/southwest-airlines/,0.041450777,0.04519774,,,,,,,,,,,,
Western Digital,Information Technology,Computer Storage Devices,North America,United States,22.1,15.3,1,15.3,576,http://www.forbes.com/companies/western-digital/,0.065359477,0.065359477,,,,,,,,,,,,
Porsche Automobil Holding,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,32.3,0,3.2,43.1,577,http://www.forbes.com/companies/porsche-automobil-holding/,0.07424594,??Tokyo Gas,Utilities,Natural Gas Utilities,Asia,Japan,12.5,20.6,1,19.6,577,http://www.forbes.com/companies/tokyo-gas/,0.051020408,0.048543689
Woodside Petroleum,Energy,Oil & Gas Operations,Australia,Australia,29.4,6.2,1.7,23.8,579,http://www.forbes.com/companies/woodside-petroleum/,0.071428571,0.274193548,,,,,,,,,,,,
Deutsche Lufthansa,Industrials,Airline,Europe,Germany,12.3,39.9,0.4,40.1,580,http://www.forbes.com/companies/deutsche-lufthansa/,0.009975062,0.010025063,,,,,,,,,,,,
Falabella,Consumer Discretionary,Department Stores,South America,Chile,21.6,13.2,0.9,18.2,581,http://www.forbes.com/companies/falabella/,0.049450549,0.068181818,,,,,,,,,,,,
Bankia,Financials,Regional Banks,Europe,Spain,24.3,5.1,0.7,346.5,582,http://www.forbes.com/companies/bankia/,0.002020202,0.137254902,,,,,,,,,,,,
Potash of Saskatchewan,Materials,Specialized Chemicals,North America,Canada,30.1,7.3,1.8,18,582,http://www.forbes.com/companies/potash-of-saskatchewan/,0.1,0.246575342,,,,,,,,,,,,
Sumitomo Electric,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,12,25.2,0.6,24.2,584,http://www.forbes.com/companies/sumitomo-electric/,0.024793388,0.023809524,,,,,,,,,,,,
Public Bank,Financials,Regional Banks,Asia,Malaysia,20.6,4.6,1.3,93.3,585,http://www.forbes.com/companies/public-bank/,0.013933548,0.282608696,,,,,,,,,,,,
Alpha Bank,Financials,Regional Banks,Europe,Greece,10.5,5.2,3,99.3,586,http://www.forbes.com/companies/alpha-bank/,0.03021148,0.576923077,,,,,,,,,,,,
Air Products & Chemicals,Materials,Specialized Chemicals,North America,United States,25.4,10.2,1,17.9,587,http://www.forbes.com/companies/air-products-chemicals/,0.055865922,0.098039216,,,,,,,,,,,,
Sumitomo Realty,Financials,Real Estate,Asia,Japan,18.6,8.3,0.7,39.2,588,http://www.forbes.com/companies/sumitomo-realty/,0.017857143,0.084337349,,,,,,,,,,,,
Publicis Groupe,Consumer Discretionary,Advertising,Europe,France,18.4,9.2,1.1,23.6,589,http://www.forbes.com/companies/publicis-groupe/,0.046610169,0.119565217,,,,,,,,,,,,
Entergy,Utilities,Electric Utilities,North America,United States,12,11.4,0.7,43.4,590,http://www.forbes.com/companies/entergy/,0.016129032,0.061403509,,,,,,,,,,,,
ASML Holding,Information Technology,Semiconductors,Europe,Netherlands,41.2,7,1.6,16.8,591,http://www.forbes.com/companies/asml-holding/,0.095238095,0.228571429,,,,,,,,,,,,
SLM,Financials,Consumer Financial Services,North America,United States,10.6,5.8,1.4,159.5,592,http://www.forbes.com/companies/slm/,0.008777429,0.24137931,,,,,,,,,,,,
ConAgra Foods,Consumer Staples,Food Processing,North America,United States,13,17.9,0.8,20.4,593,http://www.forbes.com/companies/conagra-foods/,0.039215686,0.044692737,,,,,,,,,,,,
Reynolds American,Consumer Staples,Tobacco,North America,United States,28.8,8.2,1.7,15.4,594,http://www.forbes.com/companies/reynolds-american/,0.11038961,0.207317073,,,,,,,,,,,,
China Resources Power,Utilities,Electric Utilities,Asia,Hong Kong,12.6,9,1.5,27.6,595,http://www.forbes.com/companies/china-resources-power/,0.054347826,0.166666667,,,,,,,,,,,,
Samsung Fire & Marine,Financials,Property & Casualty Insurance,Asia,South Korea,9.4,16.7,0.6,45.7,596,http://www.forbes.com/companies/samsung-fire-marine/,0.013129103,0.035928144,,,,,,,,,,,,
Unum Group,Financials,Life & Health Insurance,North America,United States,9.2,10.4,0.9,60.7,597,http://www.forbes.com/companies/unum-group/,0.014827018,0.086538462,,,,,,,,,,,,
Sime Darby,Industrials,Conglomerates,Asia,Malaysia,17.1,14.4,1.1,15.2,598,http://www.forbes.com/companies/sime-darby/,0.072368421,0.076388889,,,,,,,,,,,,
George Weston,Consumer Staples,Food Retail,North America,Canada,9.5,32.6,0.7,23.2,599,http://www.forbes.com/companies/george-weston/,0.030172414,0.021472393,,,,,,,,,,,,
Evergrande Real Estate,Financials,Real Estate,Asia,China,7.2,11.4,1.6,44.7,600,http://www.forbes.com/companies/evergrande-real-estate/,0.035794183,0.140350877,,,,,,,,,,,,
Agrium,Materials,Specialized Chemicals,North America,Canada,14,15.9,1.1,16,601,http://www.forbes.com/companies/agrium/,0.06875,0.06918239,,,,,,,,,,,,
Mosaic,Materials,Specialized Chemicals,North America,United States,19.9,8.2,1.3,19.6,601,http://www.forbes.com/companies/mosaic/,0.066326531,0.158536585,,,,,,,,,,,,
Anhui Conch Cement,Materials,Construction Materials,Asia,China,22.8,9,1.5,15.4,603,http://www.forbes.com/companies/anhui-conch-cement/,0.097402597,0.166666667,,,,,,,,,,,,
Teck Resources,Materials,Diversified Metals & Mining,North America,Canada,12.6,9.1,0.9,34.1,604,http://www.forbes.com/companies/teck-resources/,0.026392962,0.098901099,,,,,,,,,,,,
Banco Popular Espanol,Financials,Regional Banks,Europe,Spain,16.3,8.2,0.4,203.7,605,http://www.forbes.com/companies/banco-popular-espanol/,0.001963672,0.048780488,,,,,,,,,,,,
Swatch Group,Consumer Discretionary,Apparel/Accessories,Europe,Switzerland,33.6,9.1,2.1,11.3,606,http://www.forbes.com/companies/swatch-group/,0.185840708,0.230769231,,,,,,,,,,,,
National Bank of Greece,Financials,Major Banks,Europe,Greece,13.4,5,1.1,152.9,607,http://www.forbes.com/companies/national-bank-of-greece/,0.007194245,0.22,,,,,,,,,,,,
Stryker,Health Care,Medical Equipment & Supplies,North America,United States,31,9,1,15.7,608,http://www.forbes.com/companies/stryker/,0.063694268,0.111111111,,,,,,,,,,,,
Delphi Automotive,Consumer Discretionary,Auto & Truck Parts,Europe,United Kingdom,21.3,16.5,1.2,11,609,http://www.forbes.com/companies/delphi-automotive/,0.109090909,0.072727273,,,,,,,,,,,,
Spectra Energy,Energy,Oil Services & Equipment,North America,United States,25.3,5.5,1,33.5,610,http://www.forbes.com/companies/spectra-energy/,0.029850746,0.181818182,,,,,,,,,,,,
Tyson Foods,Consumer Staples,Food Processing,North America,United States,14.8,34.8,0.9,11.8,611,http://www.forbes.com/companies/tyson-foods/,0.076271186,0.025862069,,,,,,,,,,,,
FirstEnergy,Utilities,Electric Utilities,North America,United States,14,14.9,0.4,50.4,612,http://www.forbes.com/companies/firstenergy/,0.007936508,0.026845638,,,,,,,,,,,,
Sodexo,Consumer Discretionary,Business & Personal Services,Europe,France,16.5,24.1,0.6,16.6,613,http://www.forbes.com/companies/sodexo/,0.036144578,0.024896266,,,,,,,,,,,,
Biogen Idec,Health Care,Biotechs,North America,United States,73.2,6.9,1.9,11.9,614,http://www.forbes.com/companies/biogen-idec/,0.159663866,0.275362319,,,,,,,,,,,,
Abertis,Industrials,Other Transportation,Europe,Spain,19.7,6.2,0.8,38.8,615,http://www.forbes.com/companies/abertis/,0.020618557,0.129032258,,,,,,,,,,,,
Astellas Pharma,Health Care,Pharmaceuticals,Asia,Japan,26.1,11.7,0.8,14.9,615,http://www.forbes.com/companies/astellas-pharma/,0.053691275,0.068376068,,,,,,,,,,,,
M&T Bank,Financials,Regional Banks,North America,United States,16,4.8,1.1,85.6,615,http://www.forbes.com/companies/mt-bank/,0.012850467,0.229166667,,,,,,,,,,,,
Murphy Oil,Energy,Oil & Gas Operations,North America,United States,11.3,16.8,1,17.5,618,http://www.forbes.com/companies/murphy-oil/,0.057142857,0.05952381,,,,,,,,,,,,
Formosa Chemicals,Materials,Specialized Chemicals,Asia,Taiwan,14.1,14.5,0.9,17.4,619,http://www.forbes.com/companies/formosa-chemicals/,0.051724138,0.062068966,,,,,,,,,,,,
Hyundai Heavy Industries,Industrials,Heavy Equipment,Asia,South Korea,15.3,49.5,0.3,50.4,620,http://www.forbes.com/companies/hyundai-heavy-industries/,0.005952381,0.006060606,,,,,,,,,,,,
Liberty Global,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,32.1,14.5,-1,67.7,621,http://www.forbes.com/companies/liberty-global/,-0.014771049,-0.068965517,,,,,,,,,,,,
Unibail-Rodamco,Financials,Real Estate,Europe,France,25.2,2.3,1.7,44.6,622,http://www.forbes.com/companies/unibail-rodamco/,0.038116592,0.739130435,,,,,,,,,,,,
PKO Bank Polski,Financials,Regional Banks,Europe,Poland,17.4,4.9,1,66,623,http://www.forbes.com/companies/pko-bank-polski/,0.015151515,0.204081633,,,,,,,,,,,,
ThyssenKrupp Group,Industrials,Conglomerates,Europe,Germany,15.5,51.6,-2,48.9,624,http://www.forbes.com/companies/thyssenkrupp-group/,-0.040899796,-0.03875969,,,,,,,,,,,,
Bharti Airtel,Telecommunication Services,Telecommunications services,Asia,India,21.1,14.3,0.4,29.2,625,http://www.forbes.com/companies/bharti-airtel/,0.01369863,0.027972028,,,,,,,,,,,,
Siam Cement,Materials,Specialized Chemicals,Asia,Thailand,15.5,14.1,1.2,13.4,626,http://www.forbes.com/companies/siam-cement/,0.089552239,0.085106383,,,,,,,,,,,,
Adecco,Consumer Discretionary,Business & Personal Services,Europe,Switzerland,16,25.9,0.7,12.7,627,http://www.forbes.com/companies/adecco/,0.05511811,0.027027027,,,,,,,,,,,,
Seadrill,Energy,Oil Services & Equipment,North America,Bermuda,16.4,5.3,2.7,26.3,628,http://www.forbes.com/companies/seadrill/,0.102661597,0.509433962,,,,,,,,,,,,
Celgene,Health Care,Biotechs,North America,United States,59.5,6.5,1.4,13.4,629,http://www.forbes.com/companies/celgene/,0.104477612,0.215384615,,,,,,,,,,,,
Axis Bank,Financials,Regional Banks,Asia,India,11.5,6.3,1,62.7,630,http://www.forbes.com/companies/axis-bank/,0.015948963,0.158730159,,,,,,,,,,,,
Nokia,Information Technology,Communications Equipment,Europe,Finland,28.1,27.5,-0.8,34.7,631,http://www.forbes.com/companies/nokia/,-0.023054755,-0.029090909,,,,,,,,,,,,
MTR,Industrials,Railroads,Asia,Hong Kong,21.7,5,1.7,27.8,632,http://www.forbes.com/companies/mtr/,0.061151079,0.34,,,,,,,,,,,,
Country Garden Holdings,Financials,Real Estate,Asia,Hong Kong,8,10.2,1.4,34.1,633,http://www.forbes.com/companies/country-garden-holdings/,0.041055718,0.137254902,,,,,,,,,,,,
Quanta Computer,Information Technology,Computer Hardware,Asia,Taiwan,10.3,29.7,0.6,18.6,634,http://www.forbes.com/companies/quanta-computer/,0.032258065,0.02020202,,,,,,,,,,,,
British Sky Broadcasting,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,24.2,11.7,1.4,11,635,http://www.forbes.com/companies/british-sky-broadcasting/,0.127272727,0.11965812,,,,,,,,,,,,
Mitsubishi Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,10.3,21,1.1,14.3,636,http://www.forbes.com/companies/mitsubishi-motors/,0.076923077,0.052380952,,,,,,,,,,,,
JBS,Consumer Staples,Food Processing,South America,Brazil,9.6,43,0.4,29.1,637,http://www.forbes.com/companies/jbs/,0.013745704,0.009302326,,,,,,,,,,,,
Couche Tard,Consumer Discretionary,Specialty Stores,North America,Canada,15.3,37.7,0.8,10.4,638,http://www.forbes.com/companies/couche-tard/,0.076923077,0.021220159,,,,,,,,,,,,
National Bank of Abu Dhabi,Financials,Regional Banks,Asia,United Arab Emirates,17.9,3.2,1.2,88.5,639,http://www.forbes.com/companies/national-bank-of-abu-dhabi/,0.013559322,0.375,,,,,,,,,,,,
Dollar General,Consumer Discretionary,Discount Stores,North America,United States,18.1,17.5,1,10.9,640,http://www.forbes.com/companies/dollar-general/,0.091743119,0.057142857,,,,,,,,,,,,
Daqin Railway,Industrials,Railroads,Asia,China,16,7.9,2,16.4,641,http://www.forbes.com/companies/daqin-railway/,0.12195122,0.253164557,,,,,,,,,,,,
Metro Group,Consumer Staples,Food Retail,Europe,Germany,13.4,81,-0.1,45.2,642,http://www.forbes.com/companies/metro-group/,-0.002212389,-0.001234568,,,,,,,,,,,,
Parker-Hannifin,Industrials,Other Industrial Equipment,North America,United States,18.2,13.1,1,12.9,642,http://www.forbes.com/companies/parker-hannifin/,0.07751938,0.076335878,,,,,,,,,,,,
Bancolombia,Financials,Regional Banks,South America,Colombia,13.3,5.9,0.8,67.7,644,http://www.forbes.com/companies/bancolombia/,0.011816839,0.13559322,,,,,,,,,,,,
PGE,Utilities,Electric Utilities,Europe,Poland,12,9.5,1.3,20.1,645,http://www.forbes.com/companies/pge-polska-grupa/,0.064676617,0.136842105,,,,,,,,,,,,
Asahi Kasei,Materials,Diversified Chemicals,Asia,Japan,9.4,19,0.9,18.6,646,http://www.forbes.com/companies/asahi-kasei/,0.048387097,0.047368421,,,,,,,,,,,,
Fast Retailing,Consumer Discretionary,Apparel/Footwear Retail,Asia,Japan,36.4,12.6,1,10,647,http://www.forbes.com/companies/fast-retailing/,0.1,0.079365079,,,,,,,,,,,,
Whirlpool,Consumer Discretionary,Household Appliances,North America,United States,11.9,18.8,0.8,15.5,648,http://www.forbes.com/companies/whirlpool/,0.051612903,0.042553191,,,,,,,,,,,,
Sandvik,Industrials,Other Industrial Equipment,Europe,Sweden,18,13.4,0.8,14.6,649,http://www.forbes.com/companies/sandvik/,0.054794521,0.059701493,,,,,,,,,,,,
China National Building,Materials,Construction Materials,Asia,China,5.4,19.2,0.9,48.2,650,http://www.forbes.com/companies/china-national-building/,0.018672199,0.046875,,,,,,,,,,,,
Liberty Media,Consumer Discretionary,Broadcasting & Cable,North America,United States,15.1,4,8.8,34.5,651,http://www.forbes.com/companies/liberty-media-1/,0.255072464,2.2,,,,,,,,,,,,
Kohl's,Consumer Discretionary,Department Stores,North America,United States,11.9,19,0.9,14.4,652,http://www.forbes.com/companies/kohls/,0.0625,0.047368421,,,,,,,,,,,,
Genworth Financial,Financials,Diversified Insurance,North America,United States,8.9,9.6,0.6,111,653,http://www.forbes.com/companies/genworth-financial/,0.005405405,0.0625,,,,,,,,,,,,
BAE Systems,Industrials,Aerospace & Defense,Europe,United Kingdom,21.8,26.4,0.3,33,654,http://www.forbes.com/companies/bae-systems/,0.009090909,0.011363636,,,,,,,,,,,,
Priceline.com,Consumer Discretionary,Business & Personal Services,North America,United States,65.2,6.8,1.9,10.4,654,http://www.forbes.com/companies/priceline/,0.182692308,0.279411765,,,,,,,,,,,,
Annaly Capital Management,Financials,Real Estate,North America,United States,10.4,3.6,3.7,81.9,656,http://www.forbes.com/companies/annaly-capital-management/,0.045177045,1.027777778,,,,,,,,,,,,
Chunghwa Telecom,Telecommunication Services,Telecommunications services,Asia,Taiwan,23.9,7.7,1.3,14.3,657,http://www.forbes.com/companies/chunghwa-telecom/,0.090909091,0.168831169,,,,,,,,,,,,
VF,Consumer Discretionary,Apparel/Accessories,North America,United States,27.4,11.4,1.2,10.3,658,http://www.forbes.com/companies/vf/,0.116504854,0.105263158,,,,,,,,,,,,
Halkbank,Financials,Regional Banks,Europe,Turkey,7.9,6.4,1.6,61.1,659,http://www.forbes.com/companies/halkbank/,0.026186579,0.25,,,,,,,,,,,,
Bouygues,Industrials,Construction Services,Europe,France,13.4,44.3,-1,47.3,660,http://www.forbes.com/companies/bouygues/,-0.021141649,-0.022573363,,,,,,,,,,,,
Bank Central Asia,Financials,Regional Banks,Asia,Indonesia,23.9,4,1.4,40.8,661,http://www.forbes.com/companies/bank-central-asia/,0.034313725,0.35,,,,,,,,,,,,
CME Group,Financials,Investment Services,North America,United States,24.4,2.9,1,54.5,662,http://www.forbes.com/companies/cme-group/,0.018348624,0.344827586,,,,,,,,,,,,
Asahi Group Holdings,Consumer Staples,Beverages,Asia,Japan,12.8,17.6,0.6,17,663,http://www.forbes.com/companies/asahi-group-holdings/,0.035294118,0.034090909,,,,,,,,,,,,
MegaFon,Telecommunication Services,Telecommunications services,Asia,Russia,17.1,9.3,1.6,13.1,664,http://www.forbes.com/companies/megafon/,0.122137405,0.172043011,,,,,,,,,,,,
CenturyLink,Telecommunication Services,Telecommunications services,North America,United States,19.1,18.1,-0.2,51.8,665,http://www.forbes.com/companies/centurylink/,-0.003861004,-0.011049724,,,,,,,,,,,,
SK Holdings,Energy,Oil & Gas Operations,Asia,South Korea,8.6,102.2,0.3,87.7,666,http://www.forbes.com/companies/sk-holdings/,0.003420753,0.002935421,,,,,,,,,,,,
Insurance Australia Group,Financials,Property & Casualty Insurance,Australia,Australia,11.9,9,0.9,23.7,667,http://www.forbes.com/companies/insurance-australia-group/,0.037974684,0.1,,,,,,,,,,,,
Yara International,Materials,Specialized Chemicals,Europe,Norway,12.2,14.4,1,14.7,668,http://www.forbes.com/companies/yara-international/,0.068027211,0.069444444,,,,,,,,,,,,
XL Group,Financials,Diversified Insurance,Europe,Ireland,8.6,7.5,1.1,45.7,669,http://www.forbes.com/companies/xl-group/,0.024070022,0.146666667,,,,,,,,,,,,
Isuzu Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,9.7,18,1.2,13.5,670,http://www.forbes.com/companies/isuzu-motors/,0.088888889,0.066666667,,,,,,,,,,,,
Magnit,Consumer Staples,Food Retail,Asia,Russia,22.4,18.2,1.1,7,670,http://www.forbes.com/companies/magnit/,0.157142857,0.06043956,,,,,,,,,,,,
Steinhoff International,Consumer Discretionary,Furniture & Fixtures,Africa,South Africa,10.5,13,0.9,18.5,672,http://www.forbes.com/companies/steinhoff-international/,0.048648649,0.069230769,,,,,,,,,,,,
Yum Brands,Consumer Discretionary,Restaurants,North America,United States,33.7,13.1,1.1,8.7,673,http://www.forbes.com/companies/yum-brands/,0.126436782,0.083969466,,,,,,,,,,,,
Ricoh,Industrials,Business Products & Supplies,Asia,Japan,8.4,22,0.6,24.4,674,http://www.forbes.com/companies/ricoh/,0.024590164,0.027272727,,,,,,,,,,,,
AmerisourceBergen,Health Care,Pharmaceuticals,North America,United States,15.1,96.1,0.3,19.8,674,http://www.forbes.com/companies/amerisourcebergen/,0.015151515,0.003121748,,,,,,,,,,,,
